,Team,Game,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds,Week,Position,Year,Target,Opponent
4,TEN,TEN@MIA,14.0,6.0,2,0,0,0,0,17,149,51,200,5,DST,2016,7.0,MIA
5,NE,NE@CLE,13.0,2.0,1,1,0,0,0,13,235,27,262,5,DST,2016,8.0,CLE
6,ATL,ATL@DEN,12.0,6.0,1,0,0,0,0,16,183,84,267,5,DST,2016,4.0,DEN
7,TB,TB@CAR,12.0,0.0,2,0,2,0,0,14,278,136,414,5,DST,2016,14.0,CAR
8,OAK,SD@OAK,10.0,2.0,2,0,2,0,0,31,351,72,423,5,DST,2016,2.0,SD
9,PIT,NYJ@PIT,10.0,3.0,0,0,0,0,0,13,244,72,316,5,DST,2016,2.0,NYJ
10,GB,NYG@GB,10.0,4.0,0,0,1,0,0,16,178,43,221,5,DST,2016,6.0,NYG
11,BAL,WAS@BAL,9.0,1.0,1,0,1,0,0,16,250,60,310,5,DST,2016,8.0,WAS
12,DET,PHI@DET,8.0,3.0,1,0,1,0,0,23,230,116,346,5,DST,2016,3.0,PHI
13,MIA,TEN@MIA,8.0,0.0,0,0,0,1,1,30,163,235,398,5,DST,2016,10.0,TEN
14,DAL,CIN@DAL,8.0,4.0,0,0,0,0,0,14,249,96,345,5,DST,2016,13.0,CIN
15,PHI,PHI@DET,7.0,4.0,0,0,1,0,0,24,164,80,244,5,DST,2016,15.0,DET
16,CAR,TB@CAR,6.0,2.0,0,0,0,0,0,17,202,113,315,5,DST,2016,3.0,TB
17,CHI,CHI@IND,5.0,5.0,0,0,0,0,0,29,298,98,396,5,DST,2016,10.0,IND
18,DEN,ATL@DEN,5.0,2.0,0,0,1,0,0,23,250,122,372,5,DST,2016,7.0,ATL
19,SD,SD@OAK,5.0,3.0,1,0,0,0,0,34,300,89,389,5,DST,2016,15.0,OAK
20,NYG,NYG@GB,5.0,0.0,2,0,0,0,0,23,259,147,406,5,DST,2016,3.0,GB
21,LA,BUF@LA,4.0,2.0,0,0,0,1,0,30,112,193,305,5,DST,2016,1.0,BUF
22,CIN,CIN@DAL,3.0,1.0,0,0,1,0,0,28,222,180,402,5,DST,2016,3.0,DAL
23,NYJ,NYJ@PIT,3.0,1.0,0,0,1,0,0,31,375,61,436,5,DST,2016,0.0,PIT
24,IND,CHI@IND,3.0,0.0,0,0,1,0,0,23,397,125,522,5,DST,2016,4.0,CHI
25,HOU,HOU@MIN,2.0,2.0,0,0,0,0,0,31,255,96,351,5,DST,2016,6.0,MIN
26,SF,ARI@SF,1.0,1.0,0,0,0,0,0,33,116,172,288,5,DST,2016,7.0,ARI
27,CLE,NE@CLE,1.0,1.0,0,0,0,0,0,33,403,98,501,5,DST,2016,4.0,NE
0,SD,DEN@SD,15.0,2.0,0,1,2,0,0,13,220,84,304,6,DST,2016,5.0,DEN
1,ARI,NYJ@ARI,15.0,1.0,2,0,0,0,0,3,197,33,230,6,DST,2016,11.0,NYJ
2,PHI,PHI@WAS,15.0,0.0,1,0,0,0,2,27,263,230,493,6,DST,2016,27.0,WAS
3,KC,KC@OAK,13.0,2.0,1,0,1,0,0,10,221,64,285,6,DST,2016,12.0,OAK
4,DAL,DAL@GB,13.0,1.0,1,0,3,0,0,16,294,78,372,6,DST,2016,6.0,GB
5,MIA,PIT@MIA,10.0,2.0,2,0,0,0,0,15,169,128,297,6,DST,2016,5.0,PIT
6,CHI,JAX@CHI,10.0,2.0,1,0,1,0,0,17,263,54,317,6,DST,2016,13.0,JAX
7,WAS,PHI@WAS,9.0,5.0,0,0,0,0,0,20,145,94,239,6,DST,2016,7.0,PHI
8,SEA,ATL@SEA,9.0,4.0,1,0,1,0,0,24,310,52,362,6,DST,2016,18.0,ATL
9,BUF,SF@BUF,9.0,3.0,0,0,1,0,0,16,167,133,300,6,DST,2016,1.0,SF
10,BAL,BAL@NYG,8.0,1.0,2,0,1,0,0,27,397,38,435,6,DST,2016,18.0,NYG
11,NE,CIN@NE,8.0,2.0,0,1,0,0,0,17,237,120,357,6,DST,2016,6.0,CIN
12,SF,SF@BUF,7.0,3.0,0,0,2,0,0,45,179,313,492,6,DST,2016,4.0,BUF
13,TEN,CLE@TEN,7.0,6.0,0,0,0,0,0,26,301,40,341,6,DST,2016,2.0,CLE
14,DEN,DEN@SD,7.0,2.0,0,0,2,0,0,21,166,99,265,6,DST,2016,12.0,SD
15,HOU,IND@HOU,6.0,3.0,1,0,0,0,0,23,231,161,392,6,DST,2016,1.0,IND
16,GB,DAL@GB,6.0,2.0,1,0,1,0,0,30,233,191,424,6,DST,2016,12.0,DAL
17,NO,CAR@NO,6.0,2.0,1,0,1,0,0,38,303,103,406,6,DST,2016,1.0,CAR
18,JAX,JAX@CHI,5.0,1.0,0,0,0,0,0,16,297,92,389,6,DST,2016,0.0,CHI
19,CLE,CLE@TEN,4.0,2.0,1,0,0,0,0,28,270,137,407,6,DST,2016,5.0,TEN
20,ATL,ATL@SEA,4.0,1.0,0,0,0,1,0,26,261,72,333,6,DST,2016,14.0,SEA
21,IND,IND@HOU,4.0,1.0,1,0,0,0,0,26,256,158,414,6,DST,2016,12.0,HOU
22,CIN,CIN@NE,3.0,3.0,0,0,0,0,0,35,358,79,437,6,DST,2016,10.0,NE
23,DET,LA@DET,3.0,1.0,1,0,0,0,0,28,311,76,387,6,DST,2016,10.0,LA
24,NYG,BAL@NYG,3.0,2.0,0,0,0,0,0,23,293,98,391,6,DST,2016,24.0,BAL
25,CAR,CAR@NO,3.0,1.0,1,0,0,0,0,41,460,63,523,6,DST,2016,22.0,NO
26,OAK,KC@OAK,2.0,1.0,0,0,0,0,0,26,223,183,406,6,DST,2016,11.0,KC
27,PIT,PIT@MIA,2.0,0.0,0,0,0,1,0,30,252,222,474,6,DST,2016,5.0,MIA
28,LA,LA@DET,1.0,1.0,0,0,0,0,0,31,265,83,348,6,DST,2016,6.0,DET
29,NYJ,NYJ@ARI,0.0,0.0,0,0,0,0,0,28,225,171,396,6,DST,2016,12.0,ARI
0,PHI,MIN@PHI,27.0,6.0,1,0,3,0,1,10,189,93,282,7,DST,2016,4.0,MIN
1,NYG,NYG@LA,24.0,3.0,4,0,0,0,1,10,271,74,345,7,DST,2016,9.0,LA
2,SEA,SEA@ARI,18.0,4.0,0,0,0,2,0,6,311,132,443,7,DST,2016,11.0,ARI
3,BAL,BAL@NYJ,18.0,5.0,0,0,2,1,1,24,189,155,344,7,DST,2016,16.0,NYJ
4,TB,TB@SF,14.0,4.0,1,0,2,0,0,17,113,160,273,7,DST,2016,4.0,SF
5,ATL,SD@ATL,14.0,4.0,1,0,1,0,1,33,348,78,426,7,DST,2016,3.0,SD
6,CHI,CHI@GB,13.0,2.0,0,0,1,1,1,26,303,103,406,7,DST,2016,12.0,GB
7,GB,CHI@GB,12.0,1.0,2,0,0,0,0,10,120,69,189,7,DST,2016,2.0,CHI
8,KC,NO@KC,12.0,1.0,1,0,1,0,1,21,359,104,463,7,DST,2016,14.0,NO
9,DEN,HOU@DEN,12.0,1.0,0,0,2,0,0,9,131,140,271,7,DST,2016,22.0,HOU
10,IND,IND@TEN,12.0,3.0,0,0,1,0,1,26,207,124,331,7,DST,2016,3.0,TEN
11,NYJ,BAL@NYJ,12.0,2.0,2,0,1,0,0,16,234,11,245,7,DST,2016,5.0,BAL
12,ARI,SEA@ARI,11.0,1.0,0,0,0,0,0,6,205,52,257,7,DST,2016,3.0,SEA
13,OAK,OAK@JAX,11.0,1.0,2,0,1,0,0,16,239,105,344,7,DST,2016,3.0,JAX
14,CIN,CLE@CIN,10.0,2.0,2,0,0,0,0,17,172,180,352,7,DST,2016,4.0,CLE
15,DET,WAS@DET,10.0,2.0,0,0,2,0,0,17,283,130,413,7,DST,2016,9.0,WAS
16,MIN,MIN@PHI,9.0,0.0,2,0,2,0,0,21,138,101,239,7,DST,2016,5.0,PHI
17,WAS,WAS@DET,7.0,3.0,0,0,0,0,0,20,250,94,344,7,DST,2016,8.0,DET
18,LA,NYG@LA,6.0,0.0,0,0,1,0,0,17,196,36,232,7,DST,2016,12.0,NYG
19,NE,NE@PIT,6.0,0.0,1,0,0,0,0,16,281,94,375,7,DST,2016,3.0,PIT
20,MIA,BUF@MIA,5.0,4.0,0,0,0,0,0,25,200,67,267,7,DST,2016,14.0,BUF
21,SD,SD@ATL,5.0,3.0,1,0,0,0,0,30,256,130,386,7,DST,2016,14.0,ATL
22,PIT,NE@PIT,5.0,0.0,0,0,2,0,0,27,222,140,362,7,DST,2016,6.0,NE
23,CLE,CLE@CIN,5.0,3.0,0,0,1,0,0,31,288,271,559,7,DST,2016,2.0,CIN
24,SF,TB@SF,4.0,2.0,1,0,0,0,0,34,264,249,513,7,DST,2016,1.0,TB
25,TEN,IND@TEN,2.0,2.0,0,0,0,0,0,34,341,81,422,7,DST,2016,5.0,IND
26,NO,NO@KC,1.0,0.0,0,0,0,0,0,27,214,112,326,7,DST,2016,7.0,KC
27,BUF,BUF@MIA,1.0,1.0,0,0,0,0,0,28,198,256,454,7,DST,2016,5.0,MIA
28,HOU,HOU@DEN,1.0,0.0,0,0,0,0,0,27,157,190,347,7,DST,2016,8.0,DEN
29,JAX,OAK@JAX,0.0,0.0,0,0,0,0,0,33,200,144,344,7,DST,2016,0.0,OAK
0,DEN,SD@DEN,22.0,4.0,3,0,0,1,1,19,246,123,369,8,DST,2016,2.0,SD
1,CAR,ARI@CAR,22.0,8.0,1,0,1,0,1,20,316,24,340,8,DST,2016,13.0,ARI
2,SD,SD@DEN,14.0,1.0,1,0,2,0,1,27,267,57,324,8,DST,2016,18.0,DEN
3,KC,KC@IND,14.0,6.0,1,0,1,0,0,14,172,105,277,8,DST,2016,14.0,IND
4,CHI,MIN@CHI,12.0,5.0,0,0,0,0,0,10,201,57,258,8,DST,2016,6.0,MIN
5,SEA,SEA@NO,11.0,2.0,0,0,1,0,1,25,252,123,375,8,DST,2016,8.0,NO
6,DET,DET@HOU,9.0,3.0,1,0,0,0,0,20,164,105,269,8,DST,2016,8.0,HOU
7,WAS,WAS@CIN,8.0,3.0,1,0,1,0,0,27,263,152,415,8,DST,2016,9.0,CIN
8,HOU,DET@HOU,8.0,1.0,0,0,0,0,0,13,231,58,289,8,DST,2016,13.0,DET
9,NO,SEA@NO,7.0,1.0,1,0,0,0,0,20,285,74,359,8,DST,2016,10.0,SEA
10,DAL,PHI@DAL,6.0,3.0,0,0,1,0,0,23,194,97,291,8,DST,2016,11.0,PHI
11,BUF,NE@BUF,5.0,5.0,0,0,0,0,0,41,285,72,357,8,DST,2016,6.0,NE
12,MIN,MIN@CHI,5.0,1.0,0,0,0,0,0,20,245,158,403,8,DST,2016,4.0,CHI
13,TEN,JAX@TEN,5.0,2.0,0,0,1,0,0,22,322,48,370,8,DST,2016,1.0,JAX
14,NYJ,NYJ@CLE,5.0,1.0,2,0,0,0,0,28,339,68,407,8,DST,2016,2.0,CLE
15,PHI,PHI@DAL,4.0,2.0,1,0,0,0,0,29,273,187,460,8,DST,2016,5.0,DAL
16,CIN,WAS@CIN,4.0,1.0,1,0,0,0,0,27,446,100,546,8,DST,2016,6.0,WAS
17,TB,OAK@TB,4.0,2.0,0,0,1,0,0,30,498,128,626,8,DST,2016,4.0,OAK
18,IND,KC@IND,3.0,3.0,0,0,0,0,0,30,334,88,422,8,DST,2016,12.0,KC
19,NE,NE@BUF,3.0,2.0,0,0,0,0,0,25,209,167,376,8,DST,2016,5.0,BUF
20,ATL,GB@ATL,3.0,3.0,0,0,0,0,0,32,223,108,331,8,DST,2016,6.0,GB
21,OAK,OAK@TB,3.0,2.0,0,0,0,0,0,24,168,102,270,8,DST,2016,10.0,TB
22,ARI,ARI@CAR,3.0,1.0,0,0,1,0,0,30,208,141,349,8,DST,2016,9.0,CAR
23,CLE,NYJ@CLE,2.0,2.0,0,0,0,0,0,31,222,171,393,8,DST,2016,0.0,NYJ
24,GB,GB@ATL,2.0,2.0,0,0,0,0,0,33,277,90,367,8,DST,2016,6.0,ATL
25,JAX,JAX@TEN,0.0,0.0,0,0,0,0,0,36,280,214,494,8,DST,2016,6.0,TEN
0,SD,TEN@SD,18.0,0.0,2,0,1,0,2,35,313,80,393,9,DST,2016,3.0,TEN
1,BAL,PIT@BAL,16.0,2.0,1,0,0,1,1,14,241,36,277,9,DST,2016,17.0,PIT
2,MIA,NYJ@MIA,14.0,3.0,2,0,0,0,1,23,191,140,331,9,DST,2016,18.0,NYJ
3,KC,JAX@KC,14.0,2.0,1,0,3,0,0,14,244,205,449,9,DST,2016,16.0,JAX
4,CAR,CAR@LA,13.0,4.0,1,0,0,0,0,10,280,59,339,9,DST,2016,9.0,LA
5,LA,CAR@LA,12.0,5.0,0,0,0,0,0,13,185,59,244,9,DST,2016,13.0,CAR
6,IND,IND@GB,12.0,3.0,1,0,0,0,1,26,289,116,405,9,DST,2016,9.0,GB
7,DAL,DAL@CLE,11.0,4.0,0,0,0,0,0,10,177,45,222,9,DST,2016,1.0,CLE
8,NO,NO@SF,10.0,1.0,1,0,3,0,0,23,393,93,486,9,DST,2016,11.0,SF
9,OAK,DEN@OAK,10.0,2.0,1,0,1,0,0,20,266,33,299,9,DST,2016,10.0,DEN
10,NYG,PHI@NYG,9.0,2.0,2,0,0,1,0,23,347,96,443,9,DST,2016,9.0,PHI
11,SEA,BUF@SEA,8.0,5.0,1,0,0,0,0,25,263,162,425,9,DST,2016,7.0,BUF
