,Player,Game,Pts*,XPA,XPM,FGA,FGM,50+,Week,Position,Year,Target
13,Graham Gano,CAR@ATL,7.0,2,2,1,1,1,4,K,2016,2.0
14,Dustin Hopkins,CLE@WAS,7.0,4,4,1,1,0,4,K,2016,4.0
15,Justin Tucker,OAK@BAL,7.0,1,1,2,2,0,4,K,2016,4.0
16,Dan Bailey,DAL@SF,6.0,3,3,2,1,0,4,K,2016,4.0
17,Blair Walsh,NYG@MIN,6.0,3,3,2,1,0,4,K,2016,7.0
18,Connor Barth,DET@CHI,5.0,2,2,2,1,0,4,K,2016,11.0
19,Chris Boswell,KC@PIT,5.0,5,5,0,0,0,4,K,2016,7.0
20,Phil Dawson,DAL@SF,5.0,2,2,1,1,0,4,K,2016,3.0
21,Nick Folk,SEA@NYJ,5.0,2,2,1,1,0,4,K,2016,7.0
22,Wil Lutz,NO@SD,5.0,5,5,0,0,0,4,K,2016,13.0
23,Greg Zuerlein,LA@ARI,5.0,2,2,1,1,0,4,K,2016,15.0
24,Josh Brown,NYG@MIN,4.0,1,1,1,1,0,4,K,2016,10.0
25,Sebastian Janikowski,OAK@BAL,4.0,4,4,0,0,0,4,K,2016,16.0
26,Cairo Santos,KC@PIT,2.0,2,2,1,0,0,4,K,2016,8.0
27,Roberto Aguayo,DEN@TB,1.0,1,1,0,0,0,4,K,2016,9.0
28,Andrew Franks,MIA@CIN,1.0,1,1,0,0,0,4,K,2016,5.0
29,Stephen Gostkowski,BUF@NE,0.0,0,0,1,0,0,4,K,2016,7.0
0,Adam Vinatieri,CHI@IND,21.0,2,2,5,5,2,5,K,2016,11.0
1,Sebastian Janikowski,SD@OAK,16.0,2,2,5,4,1,5,K,2016,4.0
2,Greg Zuerlein,BUF@LA,15.0,1,1,4,4,1,5,K,2016,4.0
3,Caleb Sturgis,PHI@DET,13.0,2,2,3,3,1,5,K,2016,8.0
4,Connor Barth,CHI@IND,11.0,2,2,4,3,0,5,K,2016,10.0
5,Matt Bryant,ATL@DEN,11.0,2,2,3,3,0,5,K,2016,6.0
6,Mason Crosby,NYG@GB,11.0,2,2,3,3,0,5,K,2016,10.0
7,Josh Brown,NYG@GB,10.0,1,1,3,3,0,5,K,2016,9.0
8,Brandon McManus,ATL@DEN,10.0,1,1,3,3,0,5,K,2016,7.0
9,Roberto Aguayo,TB@CAR,9.0,0,0,5,3,0,5,K,2016,10.0
10,Chris Boswell,NYJ@PIT,7.0,4,4,1,1,0,5,K,2016,1.0
11,Chandler Catanzaro,ARI@SF,7.0,4,4,1,1,0,5,K,2016,4.0
12,Nick Folk,NYJ@PIT,7.0,1,1,2,2,0,5,K,2016,3.0
13,Stephen Gostkowski,NE@CLE,7.0,4,4,2,1,0,5,K,2016,9.0
14,Josh Lambo,SD@OAK,7.0,4,4,1,1,0,5,K,2016,13.0
15,Nick Novak,HOU@MIN,7.0,1,1,3,2,0,5,K,2016,8.0
16,Blair Walsh,HOU@MIN,7.0,4,4,1,1,0,5,K,2016,4.0
17,Dan Carpenter,BUF@LA,6.0,4,3,1,1,0,5,K,2016,9.0
18,Matt Prater,PHI@DET,6.0,3,3,1,1,0,5,K,2016,7.0
19,Ryan Succop,TEN@MIA,6.0,4,3,1,1,0,5,K,2016,4.0
20,Andrew Franks,TEN@MIA,5.0,2,2,1,1,0,5,K,2016,12.0
21,Dan Bailey,CIN@DAL,4.0,4,4,0,0,0,5,K,2016,12.0
22,Dustin Hopkins,WAS@BAL,4.0,2,1,2,1,0,5,K,2016,11.0
23,Justin Tucker,WAS@BAL,4.0,1,1,1,1,0,5,K,2016,11.0
24,Phil Dawson,ARI@SF,3.0,3,3,0,0,0,5,K,2016,10.0
25,Graham Gano,TB@CAR,2.0,2,2,1,0,0,5,K,2016,6.0
26,Mike Nugent,CIN@DAL,2.0,2,2,1,0,0,5,K,2016,5.0
27,Cody Parkey,NE@CLE,1.0,1,1,0,0,0,5,K,2016,8.0
0,Josh Lambo,DEN@SD,13.0,1,1,4,4,0,6,K,2016,15.0
1,Wil Lutz,CAR@NO,13.0,5,5,3,2,1,6,K,2016,3.0
2,Dan Bailey,DAL@GB,12.0,3,3,3,3,0,6,K,2016,11.0
3,Andrew Franks,PIT@MIA,12.0,3,3,5,3,0,6,K,2016,8.0
4,Dustin Hopkins,PHI@WAS,11.0,3,3,2,2,1,6,K,2016,5.0
5,Justin Tucker,BAL@NYG,11.0,2,2,3,3,0,6,K,2016,12.0
6,Adam Vinatieri,IND@HOU,11.0,2,2,3,3,0,6,K,2016,10.0
7,Connor Barth,JAX@CHI,10.0,1,1,3,3,0,6,K,2016,4.0
8,Mason Crosby,DAL@GB,10.0,1,1,3,3,0,6,K,2016,8.0
9,Phil Dawson,SF@BUF,10.0,1,1,3,3,0,6,K,2016,5.0
10,Josh Brown,BAL@NYG,9.0,3,3,2,2,0,6,K,2016,
11,Dan Carpenter,SF@BUF,9.0,6,6,1,1,0,6,K,2016,5.0
12,Stephen Gostkowski,CIN@NE,9.0,4,3,2,2,0,6,K,2016,3.0
13,Stephen Hauschka,ATL@SEA,8.0,3,2,3,2,0,6,K,2016,6.0
14,Nick Novak,IND@HOU,8.0,3,2,2,2,0,6,K,2016,9.0
15,Cody Parkey,CLE@TEN,8.0,2,2,2,2,0,6,K,2016,5.0
16,Cairo Santos,KC@OAK,8.0,3,2,3,2,0,6,K,2016,9.0
17,Caleb Sturgis,PHI@WAS,8.0,2,2,2,2,0,6,K,2016,7.0
18,Brandon McManus,DEN@SD,7.0,1,1,3,2,0,6,K,2016,9.0
19,Matt Prater,LA@DET,7.0,4,4,1,1,0,6,K,2016,8.0
20,Matt Bryant,ATL@SEA,6.0,3,3,1,1,0,6,K,2016,12.0
21,Graham Gano,CAR@NO,6.0,4,3,1,1,0,6,K,2016,14.0
22,Jason Myers,JAX@CHI,5.0,2,2,1,1,0,6,K,2016,10.0
23,Mike Nugent,CIN@NE,5.0,2,2,1,1,0,6,K,2016,7.0
24,Chandler Catanzaro,NYJ@ARI,4.0,4,4,0,0,0,6,K,2016,6.0
25,Sebastian Janikowski,KC@OAK,4.0,1,1,2,1,0,6,K,2016,17.0
26,Ryan Succop,CLE@TEN,4.0,4,4,1,0,0,6,K,2016,8.0
27,Greg Zuerlein,LA@DET,4.0,4,4,0,0,0,6,K,2016,4.0
28,Nick Folk,NYJ@ARI,3.0,0,0,1,1,0,6,K,2016,6.0
29,Chris Boswell,PIT@MIA,1.0,1,1,0,0,0,6,K,2016,10.0
0,Sebastian Janikowski,OAK@JAX,17.0,3,3,4,4,1,7,K,2016,6.0
1,Josh Lambo,SD@ATL,15.0,3,3,4,4,0,7,K,2016,1.0
2,Matt Bryant,SD@ATL,12.0,3,3,4,3,0,7,K,2016,9.0
3,Justin Tucker,BAL@NYJ,12.0,1,1,3,3,1,7,K,2016,7.0
4,Roberto Aguayo,TB@SF,10.0,4,4,3,2,0,7,K,2016,4.0
5,Chris Boswell,NE@PIT,10.0,1,1,5,3,0,7,K,2016,2.0
6,Jason Myers,OAK@JAX,10.0,1,1,3,3,0,7,K,2016,2.0
7,Adam Vinatieri,IND@TEN,10.0,4,4,2,2,0,7,K,2016,2.0
8,Brandon McManus,HOU@DEN,9.0,3,3,2,2,0,7,K,2016,9.0
9,Nick Novak,HOU@DEN,9.0,0,0,3,3,0,7,K,2016,8.0
10,Cairo Santos,NO@KC,9.0,3,3,2,2,0,7,K,2016,12.0
11,Mason Crosby,CHI@GB,8.0,3,2,3,2,0,7,K,2016,6.0
12,Andrew Franks,BUF@MIA,8.0,2,2,2,2,0,7,K,2016,9.0
13,Matt Prater,WAS@DET,8.0,2,2,3,2,0,7,K,2016,7.0
14,Ryan Succop,IND@TEN,8.0,2,2,2,2,0,7,K,2016,12.0
15,Mike Nugent,CLE@CIN,7.0,4,4,3,1,0,7,K,2016,3.0
16,Caleb Sturgis,MIN@PHI,7.0,1,1,2,2,0,7,K,2016,13.0
17,Chandler Catanzaro,SEA@ARI,6.0,0,0,4,2,0,7,K,2016,2.0
18,Nick Folk,BAL@NYJ,6.0,3,3,2,1,0,7,K,2016,7.0
19,Stephen Hauschka,SEA@ARI,6.0,0,0,3,2,0,7,K,2016,8.0
20,Dan Carpenter,BUF@MIA,5.0,2,2,1,1,0,7,K,2016,5.0
21,Phil Dawson,TB@SF,5.0,2,2,1,1,0,7,K,2016,11.0
22,Robbie Gould,NYG@LA,5.0,2,2,1,1,0,7,K,2016,4.0
23,Dustin Hopkins,WAS@DET,5.0,2,2,2,1,0,7,K,2016,9.0
24,Cody Parkey,CLE@CIN,5.0,2,2,1,1,0,7,K,2016,8.0
25,Connor Barth,CHI@GB,4.0,1,1,1,1,0,7,K,2016,8.0
26,Blair Walsh,MIN@PHI,4.0,1,1,1,1,0,7,K,2016,4.0
27,Greg Zuerlein,NYG@LA,4.0,1,1,1,1,0,7,K,2016,4.0
28,Stephen Gostkowski,NE@PIT,3.0,4,3,0,0,0,7,K,2016,13.0
29,Wil Lutz,NO@KC,3.0,3,3,0,0,0,7,K,2016,15.0
0,Wil Lutz,SEA@NO,15.0,1,1,4,4,1,8,K,2016,11.0
1,Graham Gano,ARI@CAR,14.0,3,3,3,3,1,8,K,2016,7.0
2,Stephen Gostkowski,NE@BUF,13.0,5,5,2,2,1,8,K,2016,6.0
3,Caleb Sturgis,PHI@DAL,13.0,2,2,3,3,1,8,K,2016,11.0
4,Cairo Santos,KC@IND,12.0,3,3,4,3,0,8,K,2016,15.0
5,Ryan Succop,JAX@TEN,12.0,4,3,3,3,0,8,K,2016,5.0
6,Dan Bailey,PHI@DAL,11.0,2,2,3,3,0,8,K,2016,5.0
7,Matt Bryant,GB@ATL,9.0,3,3,2,2,0,8,K,2016,15.0
8,Dustin Hopkins,WAS@CIN,9.0,3,3,4,2,0,8,K,2016,16.0
9,Brandon McManus,SD@DEN,9.0,3,3,2,2,0,8,K,2016,10.0
10,Connor Barth,MIN@CHI,8.0,2,2,2,2,0,8,K,2016,6.0
11,Stephen Hauschka,SEA@NO,8.0,2,2,2,2,0,8,K,2016,7.0
12,Nick Novak,DET@HOU,8.0,2,2,2,2,0,8,K,2016,8.0
13,Cody Parkey,NYJ@CLE,8.0,2,2,2,2,0,8,K,2016,4.0
14,Nick Folk,NYJ@CLE,7.0,4,4,1,1,0,8,K,2016,11.0
15,Matt Prater,DET@HOU,7.0,1,1,3,2,0,8,K,2016,14.0
16,Mason Crosby,GB@ATL,6.0,3,3,1,1,0,8,K,2016,8.0
17,Sebastian Janikowski,OAK@TB,6.0,3,3,3,1,0,8,K,2016,12.0
18,Dan Carpenter,NE@BUF,5.0,2,2,2,1,0,8,K,2016,5.0
19,Roberto Aguayo,OAK@TB,4.0,2,1,1,1,0,8,K,2016,2.0
20,Blair Walsh,MIN@CHI,4.0,1,1,1,1,0,8,K,2016,4.0
21,Mike Nugent,WAS@CIN,3.0,4,3,1,0,0,8,K,2016,8.0
22,Chandler Catanzaro,ARI@CAR,2.0,2,2,0,0,0,8,K,2016,11.0
23,Jason Myers,JAX@TEN,2.0,2,2,0,0,0,8,K,2016,2.0
24,Adam Vinatieri,KC@IND,2.0,2,2,0,0,0,8,K,2016,7.0
25,Josh Lambo,SD@DEN,1.0,2,1,1,0,0,8,K,2016,13.0
26,Jon Ryan,SEA@NO,0.0,0,0,0,0,0,8,K,2016,2.0
0,Matt Bryant,ATL@TB,15.0,4,4,3,3,1,9,K,2016,9.0
1,Cairo Santos,JAX@KC,15.0,1,1,4,4,1,9,K,2016,12.0
2,Matt Prater,DET@MIN,14.0,1,1,3,3,2,9,K,2016,8.0
3,Josh Lambo,TEN@SD,13.0,5,4,3,3,0,9,K,2016,6.0
4,Sebastian Janikowski,DEN@OAK,12.0,3,3,4,3,0,9,K,2016,9.0
5,Phil Dawson,NO@SF,11.0,2,2,3,3,0,9,K,2016,10.0
6,Nick Folk,NYJ@MIA,11.0,2,2,3,3,0,9,K,2016,0.0
7,Wil Lutz,NO@SF,11.0,5,5,3,2,0,9,K,2016,5.0
8,Caleb Sturgis,PHI@NYG,11.0,2,2,4,3,0,9,K,2016,10.0
9,Brandon McManus,DEN@OAK,10.0,2,2,2,2,1,9,K,2016,13.0
10,Andrew Franks,NYJ@MIA,9.0,3,3,2,2,0,9,K,2016,7.0
11,Mason Crosby,IND@GB,8.0,2,2,3,2,0,9,K,2016,7.0
12,Graham Gano,CAR@LA,7.0,1,1,3,2,0,9,K,2016,5.0
13,Stephen Hauschka,BUF@SEA,7.0,4,4,1,1,0,9,K,2016,13.0
14,Justin Tucker,PIT@BAL,7.0,1,1,2,2,0,9,K,2016,8.0
15,Adam Vinatieri,IND@GB,7.0,4,4,1,1,0,9,K,2016,6.0
16,Dan Bailey,DAL@CLE,5.0,5,5,0,0,0,9,K,2016,13.0
17,Dan Carpenter,BUF@SEA,5.0,2,2,2,1,0,9,K,2016,12.0
18,Ryan Succop,TEN@SD,5.0,5,5,0,0,0,9,K,2016,13.0
19,Robbie Gould,PHI@NYG,4.0,4,4,0,0,0,9,K,2016,3.0
20,Cody Parkey,DAL@CLE,4.0,1,1,2,1,0,9,K,2016,1.0
21,Blair Walsh,DET@MIN,4.0,2,1,2,1,0,9,K,2016,2.0
22,Greg Zuerlein,CAR@LA,4.0,1,1,3,1,0,9,K,2016,9.0
23,Roberto Aguayo,ATL@TB,2.0,2,2,0,0,0,9,K,2016,10.0
24,Chris Boswell,PIT@BAL,2.0,2,2,0,0,0,9,K,2016,6.0
25,Jason Myers,JAX@KC,2.0,2,2,1,0,0,9,K,2016,9.0
0,Dustin Hopkins,MIN@WAS,16.0,2,2,4,4,1,10,K,2016,6.0
1,Dan Bailey,DAL@PIT,13.0,2,2,3,3,1,10,K,2016,9.0
2,Stephen Hauschka,SEA@NE,13.0,2,1,4,4,0,10,K,2016,8.0
3,Brandon McManus,DEN@NO,13.0,2,2,4,3,1,10,K,2016,9.0
4,Ryan Succop,GB@TEN,13.0,5,5,2,2,1,10,K,2016,5.0
5,Cairo Santos,KC@CAR,12.0,0,0,4,4,0,10,K,2016,5.0
6,Chandler Catanzaro,SF@ARI,11.0,2,2,3,3,0,10,K,2016,6.0
7,Roberto Aguayo,CHI@TB,10.0,4,4,2,2,0,10,K,2016,13.0
8,Phil Dawson,SF@ARI,10.0,2,2,2,2,1,10,K,2016,5.0
9,Caleb Sturgis,ATL@PHI,10.0,1,1,5,3,0,10,K,2016,1.0
10,Matt Bryant,ATL@PHI,9.0,1,0,4,3,0,10,K,2016,8.0
11,Jason Myers,HOU@JAX,9.0,1,1,2,2,1,10,K,2016,9.0
12,Greg Zuerlein,LA@NYJ,9.0,0,0,3,3,0,10,K,2016,4.0
13,Nick Novak,HOU@JAX,8.0,3,3,3,1,1,10,K,2016,8.0
14,Mike Nugent,CIN@NYG,8.0,2,2,2,2,0,10,K,2016,0.0
15,Justin Tucker,CLE@BAL,8.0,2,2,2,2,0,10,K,2016,5.0
16,Mason Crosby,GB@TEN,7.0,2,1,2,2,0,10,K,2016,6.0
17,Andrew Franks,MIA@SD,7.0,4,4,1,1,0,10,K,2016,2.0
18,Connor Barth,CHI@TB,6.0,1,1,1,1,1,10,K,2016,4.0
19,Chris Boswell,DAL@PIT,6.0,0,0,3,2,0,10,K,2016,10.0
20,Stephen Gostkowski,SEA@NE,6.0,3,3,1,1,0,10,K,2016,6.0
21,Josh Lambo,MIA@SD,6.0,3,3,1,1,0,10,K,2016,3.0
22,Graham Gano,KC@CAR,5.0,2,2,1,1,0,10,K,2016,11.0
23,Wil Lutz,DEN@NO,5.0,3,2,1,1,0,10,K,2016,8.0
24,Robbie Gould,CIN@NYG,3.0,3,3,0,0,0,10,K,2016,4.0
25,Blair Walsh,MIN@WAS,2.0,3,2,0,0,0,10,K,2016,9.0
26,Cody Parkey,CLE@BAL,1.0,1,1,0,0,0,10,K,2016,3.0
27,Nick Folk,LA@NYJ,0.0,1,0,0,0,0,10,K,2016,7.0
0,Roberto Aguayo,TB@KC,13.0,1,1,4,4,0,11,K,2016,2.0
1,Dan Carpenter,BUF@CIN,12.0,1,1,3,3,1,11,K,2016,2.0
2,Graham Gano,NO@CAR,11.0,2,2,3,3,0,11,K,2016,2.0
3,Chris Boswell,PIT@CLE,10.0,1,1,3,3,0,11,K,2016,4.0
4,Dan Bailey,BAL@DAL,9.0,3,3,2,2,0,11,K,2016,7.0
5,Sebastian Janikowski,HOU@OAK,9.0,3,3,2,2,0,11,K,2016,9.0
6,Jason Myers,JAX@DET,9.0,2,1,2,2,1,11,K,2016,3.0
7,Stephen Hauschka,PHI@SEA,8.0,3,2,3,2,0,11,K,2016,3.0
8,Wil Lutz,NO@CAR,8.0,2,2,3,2,0,11,K,2016,7.0
9,Nick Novak,HOU@OAK,8.0,2,2,2,2,0,11,K,2016,7.0
10,Matt Prater,JAX@DET,8.0,3,2,2,2,0,11,K,2016,10.0
11,Chandler Catanzaro,ARI@MIN,6.0,3,3,1,1,0,11,K,2016,9.0
12,Mason Crosby,GB@WAS,6.0,3,3,2,1,0,11,K,2016,9.0
13,Kai Forbath,ARI@MIN,6.0,4,3,1,1,0,11,K,2016,7.0
14,Stephen Gostkowski,NE@SF,6.0,4,3,1,1,0,11,K,2016,10.0
15,Dustin Hopkins,GB@WAS,6.0,4,3,1,1,0,11,K,2016,8.0
16,Adam Vinatieri,TEN@IND,6.0,3,3,2,1,0,11,K,2016,1.0
17,Phil Dawson,NE@SF,5.0,2,2,1,1,0,11,K,2016,6.0
18,Cairo Santos,TB@KC,5.0,2,2,1,1,0,11,K,2016,8.0
19,Ryan Succop,TEN@IND,5.0,2,2,1,1,0,11,K,2016,9.0
20,Justin Tucker,BAL@DAL,5.0,2,2,1,1,0,11,K,2016,19.0
21,Connor Barth,CHI@NYG,4.0,2,1,2,1,0,11,K,2016,3.0
22,Robbie Gould,CHI@NYG,4.0,3,1,1,1,0,11,K,2016,3.0
23,Greg Zuerlein,MIA@LA,4.0,1,1,2,1,0,11,K,2016,3.0
24,Cody Parkey,PIT@CLE,3.0,1,0,1,1,0,11,K,2016,7.0
25,Andrew Franks,MIA@LA,2.0,2,2,0,0,0,11,K,2016,7.0
26,Caleb Sturgis,PHI@SEA,1.0,1,1,0,0,0,11,K,2016,9.0
27,Mike Nugent,BUF@CIN,0.0,2,0,0,0,0,11,K,2016,6.0
0,Justin Tucker,CIN@BAL,19.0,1,1,4,4,3,12,K,2016,10.0
1,Stephen Gostkowski,NE@NYJ,10.0,1,1,4,3,0,12,K,2016,14.0
2,Matt Prater,MIN@DET,10.0,1,1,3,3,0,12,K,2016,18.0
